product_name,product_id,category,buy_price,sell_price,stock,profit_per_item
"Fellowes Folders, Blue",OFF-ST-10000988,Storage,25.99,33.53,16,7.54
"SanDisk Numeric Keypad, Bluetooth",TEC-AC-10004144,Accessories,55.99,64.95,10,8.96
"Avery Legal Exhibit Labels, 5000 Label Set",OFF-LA-10001915,Labels,11.99,14.51,7,2.52
"Fellowes Folders, Wire Frame",OFF-ST-10004550,Storage,24.99,31.49,11,6.5
"Memorex Memory Card, USB",TEC-AC-10004068,Accessories,101.99,121.37,6,19.38
"Rogers Shelving, Wire Frame",OFF-ST-10002271,Storage,60.99,79.29,8,18.3
"Apple Signal Booster, Full Size",TEC-PH-10003963,Phones,137.99,176.63,2,38.64
"Canon Personal Copier, Laser",TEC-CO-10004325,Copiers,142.99,185.89,18,42.9
"Hoover Stove, Red",OFF-AP-10004512,Appliances,567.99,641.83,19,73.84
"Accos Push Pins, Bulk Pack",OFF-FA-10002393,Fasteners,14.99,16.79,18,1.8
"Hon Color Coded Labels, Alphabetical",OFF-LA-10002805,Labels,12.99,16.76,18,3.77
"Hamilton Beach Stove, Silver",OFF-AP-10002330,Appliances,488.99,635.69,3,146.7
"Binney & Smith Pens, Easy-Erase",OFF-AR-10000505,Art,11.99,15.59,11,3.6
"Samsung Smart Phone, Full Size",TEC-PH-10002898,Phones,541.99,666.65,17,124.66
"Rogers Folders, Blue",OFF-ST-10001413,Storage,27.99,34.99,11,7.0
"Smead Trays, Wire Frame",OFF-ST-10003931,Storage,42.99,48.15,1,5.16
"Belkin Memory Card, USB",TEC-AC-10004269,Accessories,114.99,128.79,14,13.8
"Hon Removable Labels, Adjustable",OFF-LA-10001676,Labels,7.99,8.79,9,0.8
"Okidata Phone, Durable",TEC-MA-10000811,Machines,86.99,113.09,15,26.1
"Eldon File Cart, Industrial",OFF-ST-10000648,Storage,114.99,146.04,11,31.05
"Acco Hole Reinforcements, Recycled",OFF-BI-10001249,Binders,6.99,9.02,18,2.03
"Safco Stackable Bookrack, Mobile",FUR-BO-10004620,Bookcases,133.99,170.17,11,36.18
"Memorex Mouse, Bluetooth",TEC-AC-10002901,Accessories,27.99,31.63,11,3.64
"Rogers Shelving, Single Width",OFF-ST-10000632,Storage,55.99,71.11,8,15.12
"BIC Pens, Fluorescent",OFF-AR-10002116,Art,15.99,19.03,11,3.04
"Panasonic Calculator, Red",TEC-MA-10000946,Machines,46.99,51.69,13,4.7
"Rogers Box, Industrial",OFF-ST-10004409,Storage,21.99,25.29,18,3.3
"Stockwell Rubber Bands, Assorted Sizes",OFF-FA-10000146,Fasteners,13.99,16.23,0,2.24
"Belkin Mouse, Erganomic",TEC-AC-10001636,Accessories,38.99,46.4,13,7.41
"Samsung Audio Dock, Full Size",TEC-PH-10002076,Phones,167.99,209.99,0,42.0
"Cardinal Binding Machine, Durable",OFF-BI-10002225,Binders,50.99,64.25,17,13.26
"Green Bar Memo Slips, 8.5 x 11",OFF-PA-10002248,Paper,20.99,24.35,0,3.36
"Eaton Computer Printout Paper, Multicolor",OFF-PA-10000876,Paper,27.99,35.27,20,7.28
"Stanley Markers, Water Color",OFF-AR-10001228,Art,24.99,27.99,0,3.0
"BIC Sketch Pad, Water Color",OFF-AR-10000785,Art,51.99,58.75,20,6.76
"Eldon Box, Blue",OFF-ST-10002151,Storage,8.99,10.61,3,1.62
"Novimex Color Coded Labels, Laser Printer Compatible",OFF-LA-10004929,Labels,11.99,15.11,7,3.12
"Eaton Memo Slips, Multicolor",OFF-PA-10003037,Paper,14.99,18.89,20,3.9
"Binney & Smith Pens, Water Color",OFF-AR-10000491,Art,14.99,18.44,17,3.45
"Stiletto Letter Opener, Easy Grip",OFF-SU-10003907,Supplies,14.99,19.49,2,4.5
"Stanley Pens, Water Color",OFF-AR-10000823,Art,6.99,8.88,15,1.89
"Brother Wireless Fax, Digital",TEC-CO-10000620,Copiers,377.99,434.69,19,56.7
"Logitech Flash Drive, Bluetooth",TEC-AC-10004203,Accessories,30.99,38.12,16,7.13
"Brother Wireless Fax, Color",TEC-CO-10001596,Copiers,379.99,482.59,15,102.6
"Stiletto Trimmer, Steel",OFF-SU-10004818,Supplies,41.99,50.39,13,8.4
"Canon Fax Machine, High-Speed",TEC-CO-10004034,Copiers,268.99,347.0,10,78.01
"Binney & Smith Canvas, Fluorescent",OFF-AR-10000319,Art,52.99,62.0,20,9.01
"Fiskars Box Cutter, High Speed",OFF-SU-10001703,Supplies,35.99,43.55,13,7.56
"Smead Shelving, Wire Frame",OFF-ST-10002659,Storage,23.99,27.35,20,3.36
"Boston Canvas, Water Color",OFF-AR-10003629,Art,56.99,63.83,4,6.84
"Stanley Markers, Fluorescent",OFF-AR-10003829,Art,22.99,26.44,11,3.45
"Sanford Highlighters, Fluorescent",OFF-AR-10003217,Art,16.99,21.92,9,4.93
"Ikea Stackable Bookrack, Metal",FUR-BO-10003007,Bookcases,121.99,142.73,6,20.74
"BIC Markers, Water Color",OFF-AR-10001269,Art,29.99,34.79,18,4.8
"Eldon Folders, Single Width",OFF-ST-10001426,Storage,14.99,17.84,0,2.85
"Binney & Smith Markers, Water Color",OFF-AR-10001230,Art,26.99,32.12,15,5.13
"Chromcraft Coffee Table, Fully Assembled",FUR-TA-10004544,Tables,106.99,117.69,4,10.7
"Stanley Pens, Blue",OFF-AR-10000316,Art,9.99,11.09,16,1.1
"Okidata Receipt Printer, White",TEC-MA-10002844,Machines,72.99,87.59,10,14.6
"Smead Removable Labels, Laser Printer Compatible",OFF-LA-10003591,Labels,9.99,12.19,7,2.2
"OIC Push Pins, Metal",OFF-FA-10001680,Fasteners,14.99,17.84,6,2.85
"Fellowes Trays, Single Width",OFF-ST-10001255,Storage,33.99,41.47,15,7.48
"Dania Stackable Bookrack, Pine",FUR-BO-10004408,Bookcases,110.99,136.52,13,25.53
"Canon Wireless Fax, Laser",TEC-CO-10001162,Copiers,378.99,458.58,9,79.59
"Green Bar Memo Slips, Recycled",OFF-PA-10003937,Paper,16.99,19.88,12,2.89
"Sanford Canvas, Water Color",OFF-AR-10002902,Art,53.99,67.49,1,13.5
"Sanford Pens, Easy-Erase",OFF-AR-10003651,Art,10.99,12.53,13,1.54
"Sauder Classic Bookcase, Pine",FUR-BO-10004129,Bookcases,436.99,485.06,18,48.07
"Rogers Lockers, Blue",OFF-ST-10001758,Storage,211.99,267.11,13,55.12
"Enermax Numeric Keypad, Bluetooth",TEC-AC-10000140,Accessories,57.99,71.33,2,13.34
"Harbour Creations Bag Chairs, Adjustable",FUR-CH-10001153,Chairs,57.99,68.43,20,10.44
"Avery Index Tab, Clear",OFF-BI-10004722,Binders,5.99,7.79,13,1.8
"Fellowes File Cart, Industrial",OFF-ST-10000095,Storage,137.99,176.63,12,38.64
"Advantus Door Stop, Erganomic",FUR-FU-10004608,Furnishings,43.99,51.91,2,7.92
"Office Star Swivel Stool, Adjustable",FUR-CH-10003362,Chairs,175.99,202.39,14,26.4
"Stiletto Trimmer, High Speed",OFF-SU-10004299,Supplies,42.99,55.46,6,12.47
"Cardinal Binder, Durable",OFF-BI-10004628,Binders,14.99,16.94,18,1.95
"Eldon Lockers, Wire Frame",OFF-ST-10002354,Storage,196.99,242.3,8,45.31
"Nokia Headset, Full Size",TEC-PH-10002296,Phones,73.99,84.35,13,10.36
"Lesro Conference Table, Adjustable Height",FUR-TA-10002467,Tables,558.99,626.07,6,67.08
"Ames Clasp Envelope, Set of 50",OFF-EN-10002065,Envelopes,6.99,8.11,0,1.12
"Ikea Floating Shelf Set, Traditional",FUR-BO-10004119,Bookcases,169.99,186.99,5,17.0
"Sauder Floating Shelf Set, Mobile",FUR-BO-10003881,Bookcases,196.99,242.3,9,45.31
"Sanford Highlighters, Blue",OFF-AR-10000219,Art,15.99,19.67,19,3.68
"Canon Fax Machine, Digital",TEC-CO-10000405,Copiers,317.99,381.59,2,63.6
"Belkin Numeric Keypad, USB",TEC-AC-10003554,Accessories,55.99,67.75,11,11.76
"Sauder Corner Shelving, Traditional",FUR-BO-10000684,Bookcases,146.99,164.63,3,17.64
"Epson Card Printer, Red",TEC-MA-10000559,Machines,166.99,207.07,12,40.08
"Cardinal Binder Covers, Clear",OFF-BI-10002799,Binders,10.99,13.08,15,2.09
"Panasonic Printer, Wireless",TEC-MA-10003812,Machines,265.99,340.47,20,74.48
"Nokia Signal Booster, with Caller ID",TEC-PH-10002296,Phones,135.99,156.39,2,20.4
"Kraft Clasp Envelope, with clear poly window",OFF-EN-10001202,Envelopes,12.99,15.85,12,2.86
"Fiskars Ruler, Serrated",OFF-SU-10002611,Supplies,10.99,12.42,20,1.43
"Bush Corner Shelving, Metal",FUR-BO-10001555,Bookcases,122.99,154.97,11,31.98
"Sanford Canvas, Fluorescent",OFF-AR-10001291,Art,51.99,64.99,17,13.0
"Epson Phone, Durable",TEC-MA-10000327,Machines,80.99,96.38,17,15.39
"Deflect-O Photo Frame, Durable",FUR-FU-10003069,Furnishings,48.99,60.75,18,11.76
"Ibico Hole Reinforcements, Durable",OFF-BI-10004903,Binders,7.99,9.59,16,1.6
"Boston Canvas, Fluorescent",OFF-AR-10004519,Art,54.99,70.94,11,15.95
"Avery Index Tab, Durable",OFF-BI-10001685,Binders,6.99,8.46,10,1.47
"Sanford Pens, Water Color",OFF-AR-10001176,Art,13.99,16.79,6,2.8
"Tenex Light Bulb, Erganomic",FUR-FU-10004137,Furnishings,13.99,17.07,6,3.08
"Eaton Memo Slips, 8.5 x 11",OFF-PA-10002396,Paper,17.99,23.03,4,5.04
"Eldon Box, Industrial",OFF-ST-10002608,Storage,9.99,11.79,2,1.8
"Dania Library with Doors, Metal",FUR-BO-10004053,Bookcases,361.99,401.81,18,39.82
"Hon Executive Leather Armchair, Adjustable",FUR-CH-10004462,Chairs,367.99,434.23,1,66.24
"Boston Markers, Water Color",OFF-AR-10003658,Art,29.99,38.69,3,8.7
"Smead Round Labels, Laser Printer Compatible",OFF-LA-10003132,Labels,6.99,8.25,13,1.26
"Okidata Printer, Red",TEC-MA-10001777,Machines,225.99,253.11,0,27.12
"Motorola Smart Phone, with Caller ID",TEC-PH-10000160,Phones,645.99,749.35,4,103.36
"Acco Binding Machine, Durable",OFF-BI-10004801,Binders,52.99,66.24,16,13.25
"Bush Library with Doors, Mobile",FUR-BO-10001165,Bookcases,329.99,372.89,7,42.9
"Tenex Clock, Duo Pack",FUR-FU-10004954,Furnishings,49.99,56.49,8,6.5
"Hon Steel Folding Chair, Red",FUR-CH-10002335,Chairs,72.99,94.16,14,21.17
"Enermax Computer Printout Paper, Recycled",OFF-PA-10000423,Paper,27.99,31.91,20,3.92
"OIC Thumb Tacks, Assorted Sizes",OFF-FA-10003463,Fasteners,11.99,13.55,17,1.56
"Binney & Smith Pencil Sharpener, Fluorescent",OFF-AR-10001898,Art,26.99,32.39,19,5.4
"Okidata Inkjet, Durable",TEC-MA-10001494,Machines,265.99,305.89,14,39.9
"Sanford Markers, Fluorescent",OFF-AR-10000467,Art,24.99,30.49,10,5.5
"Xerox Cards & Envelopes, Premium",OFF-PA-10003455,Paper,44.99,53.09,2,8.1
"Ikea Library with Doors, Mobile",FUR-BO-10004630,Bookcases,328.99,394.79,13,65.8
"SanDisk Note Cards, Multicolor",OFF-PA-10000878,Paper,33.99,42.49,3,8.5
"Rogers Shelving, Blue",OFF-ST-10002720,Storage,36.99,43.65,10,6.66
"Acco Index Tab, Economy",OFF-BI-10000440,Binders,9.99,12.39,17,2.4
"Acco Binding Machine, Recycled",OFF-BI-10002172,Binders,50.99,63.23,20,12.24
