date,month,year,product_id,product_name,category,buy_price,sell_price,quantity,sales,profit_per_item,profit
2022-10-02,10,2022,OFF-ST-10000988,"Fellowes Folders, Blue",Storage,25.99,31.97,3,77.97,5.98,17.94
2022-10-02,10,2022,TEC-AC-10004144,"SanDisk Numeric Keypad, Bluetooth",Accessories,55.99,72.23,7,391.93,16.24,113.68
2022-10-02,10,2022,OFF-LA-10001915,"Avery Legal Exhibit Labels, 5000 Label Set",Labels,11.99,14.75,3,35.97,2.76,8.28
2022-10-02,10,2022,OFF-ST-10004550,"Fellowes Folders, Wire Frame",Storage,24.99,30.99,2,49.98,6.0,12.0
2022-10-02,10,2022,TEC-AC-10004068,"Memorex Memory Card, USB",Accessories,101.99,112.19,3,305.96999999999997,10.2,30.6
2022-10-02,10,2022,OFF-ST-10002271,"Rogers Shelving, Wire Frame",Storage,60.99,77.46,2,121.98,16.47,32.94
2022-10-02,10,2022,TEC-PH-10003963,"Apple Signal Booster, Full Size",Phones,137.99,172.49,3,413.97,34.5,103.5
2020-05-08,5,2020,TEC-CO-10004325,"Canon Personal Copier, Laser",Copiers,142.99,160.15,3,428.97,17.16,51.48
2020-05-08,5,2020,OFF-AP-10004512,"Hoover Stove, Red",Appliances,567.99,681.59,7,3975.9300000000003,113.6,795.2
2020-05-08,5,2020,OFF-FA-10002393,"Accos Push Pins, Bulk Pack",Fasteners,14.99,17.39,3,44.97,2.4,7.2
2020-09-20,9,2020,OFF-LA-10002805,"Hon Color Coded Labels, Alphabetical",Labels,12.99,15.85,2,25.98,2.86,5.72
2020-09-20,9,2020,OFF-AP-10002330,"Hamilton Beach Stove, Silver",Appliances,488.99,547.67,5,2444.95,58.68,293.4
2020-09-20,9,2020,OFF-AR-10000505,"Binney & Smith Pens, Easy-Erase",Art,11.99,14.15,1,11.99,2.16,2.16
2020-09-20,9,2020,TEC-PH-10002898,"Samsung Smart Phone, Full Size",Phones,541.99,617.87,4,2167.96,75.88,303.52
2020-09-20,9,2020,OFF-ST-10001413,"Rogers Folders, Blue",Storage,27.99,31.63,5,139.95,3.64,18.2
2021-05-16,5,2021,OFF-ST-10003931,"Smead Trays, Wire Frame",Storage,42.99,49.44,3,128.97,6.45,19.35
2021-05-16,5,2021,TEC-AC-10004269,"Belkin Memory Card, USB",Accessories,114.99,146.04,6,689.9399999999999,31.05,186.3
2021-05-16,5,2021,OFF-LA-10001676,"Hon Removable Labels, Adjustable",Labels,7.99,9.51,1,7.99,1.52,1.52
2022-06-11,6,2022,TEC-MA-10000811,"Okidata Phone, Durable",Machines,86.99,97.43,4,347.96,10.44,41.76
2022-06-11,6,2022,OFF-ST-10000648,"Eldon File Cart, Industrial",Storage,114.99,129.94,5,574.9499999999999,14.95,74.75
2022-11-14,11,2022,OFF-BI-10001249,"Acco Hole Reinforcements, Recycled",Binders,6.99,8.46,2,13.98,1.47,2.94
2022-09-18,9,2022,FUR-BO-10004620,"Safco Stackable Bookrack, Mobile",Bookcases,133.99,172.85,2,267.98,38.86,77.72
2022-05-05,5,2022,OFF-ST-10002271,"Rogers Shelving, Wire Frame",Storage,60.99,77.46,1,60.99,16.47,16.47
