,DATE,MONTH,YEAR,PRODUCT_ID,PRODUCT_NAME,CATEGORY,BUY_PRICE,SELL_PRICE,QUANTITY,SALES,PROFIT_PER_ITEM,PROFIT
0,2022-10-02,10,2022,OFF-ST-10000988,"Fellowes Folders, Blue",Storage,25.99,31.97,3,77.97,5.98,17.94
1,2022-10-02,10,2022,TEC-AC-10004144,"SanDisk Numeric Keypad, Bluetooth",Accessories,55.99,72.23,7,391.93,16.24,113.68
2,2022-10-02,10,2022,OFF-LA-10001915,"Avery Legal Exhibit Labels, 5000 Label Set",Labels,11.99,14.75,3,35.97,2.76,8.28
3,2022-10-02,10,2022,OFF-ST-10004550,"Fellowes Folders, Wire Frame",Storage,24.99,30.99,2,49.98,6.0,12.0
4,2022-10-02,10,2022,TEC-AC-10004068,"Memorex Memory Card, USB",Accessories,101.99,112.19,3,305.97,10.2,30.6
5,2022-10-02,10,2022,OFF-ST-10002271,"Rogers Shelving, Wire Frame",Storage,60.99,77.46,2,121.98,16.47,32.94
6,2022-10-02,10,2022,TEC-PH-10003963,"Apple Signal Booster, Full Size",Phones,137.99,172.49,3,413.97,34.5,103.5
7,2020-05-08,5,2020,TEC-CO-10004325,"Canon Personal Copier, Laser",Copiers,142.99,160.15,3,428.97,17.16,51.48
8,2020-05-08,5,2020,OFF-AP-10004512,"Hoover Stove, Red",Appliances,567.99,681.59,7,3975.93,113.6,795.2
9,2020-05-08,5,2020,OFF-FA-10002393,"Accos Push Pins, Bulk Pack",Fasteners,14.99,17.39,3,44.97,2.4,7.2
10,2020-09-20,9,2020,OFF-LA-10002805,"Hon Color Coded Labels, Alphabetical",Labels,12.99,15.85,2,25.98,2.86,5.72
11,2020-09-20,9,2020,OFF-AP-10002330,"Hamilton Beach Stove, Silver",Appliances,488.99,547.67,5,2444.95,58.68,293.4
12,2020-09-20,9,2020,OFF-AR-10000505,"Binney & Smith Pens, Easy-Erase",Art,11.99,14.15,1,11.99,2.16,2.16
13,2020-09-20,9,2020,TEC-PH-10002898,"Samsung Smart Phone, Full Size",Phones,541.99,617.87,4,2167.96,75.88,303.52
14,2020-09-20,9,2020,OFF-ST-10001413,"Rogers Folders, Blue",Storage,27.99,31.63,5,139.95,3.64,18.2
15,2021-05-16,5,2021,OFF-ST-10003931,"Smead Trays, Wire Frame",Storage,42.99,49.44,3,128.97,6.45,19.35
16,2021-05-16,5,2021,TEC-AC-10004269,"Belkin Memory Card, USB",Accessories,114.99,146.04,6,689.9399999999999,31.05,186.3
17,2021-05-16,5,2021,OFF-LA-10001676,"Hon Removable Labels, Adjustable",Labels,7.99,9.51,1,7.99,1.52,1.52
