date,month,year,product_id,product_name,category,buy_price,sell_price,quantity,sales,profit_per_item,profit
2022-11-02,11,2022,OFF-ST-10000988,"Fellowes Folders, Blue",Storage,25.99,33.53,3,77.97,7.54,22.62
2022-11-02,11,2022,TEC-AC-10004144,"SanDisk Numeric Keypad, Bluetooth",Accessories,55.99,64.95,7,391.93,8.96,62.72
2022-11-02,11,2022,OFF-LA-10001915,"Avery Legal Exhibit Labels, 5000 Label Set",Labels,11.99,14.51,3,35.97,2.52,7.56
2022-11-02,11,2022,OFF-ST-10004550,"Fellowes Folders, Wire Frame",Storage,24.99,31.49,2,49.98,6.5,13.0
2022-11-02,11,2022,TEC-AC-10004068,"Memorex Memory Card, USB",Accessories,101.99,121.37,3,305.96999999999997,19.38,58.14
2022-11-02,11,2022,OFF-ST-10002271,"Rogers Shelving, Wire Frame",Storage,60.99,79.29,2,121.98,18.3,36.6
2022-11-02,11,2022,TEC-PH-10003963,"Apple Signal Booster, Full Size",Phones,137.99,176.63,3,413.97,38.64,115.92
2020-06-08,6,2020,TEC-CO-10004325,"Canon Personal Copier, Laser",Copiers,142.99,185.89,3,428.97,42.9,128.7
2020-06-08,6,2020,OFF-AP-10004512,"Hoover Stove, Red",Appliances,567.99,641.83,7,3975.9300000000003,73.84,516.88
2020-06-08,6,2020,OFF-FA-10002393,"Accos Push Pins, Bulk Pack",Fasteners,14.99,16.79,3,44.97,1.8,5.4
2020-10-20,10,2020,OFF-LA-10002805,"Hon Color Coded Labels, Alphabetical",Labels,12.99,16.76,2,25.98,3.77,7.54
2020-10-20,10,2020,OFF-AP-10002330,"Hamilton Beach Stove, Silver",Appliances,488.99,635.69,5,2444.95,146.7,733.5
2020-10-20,10,2020,OFF-AR-10000505,"Binney & Smith Pens, Easy-Erase",Art,11.99,15.59,1,11.99,3.6,3.6
2020-10-20,10,2020,TEC-PH-10002898,"Samsung Smart Phone, Full Size",Phones,541.99,666.65,4,2167.96,124.66,498.64
2020-10-20,10,2020,OFF-ST-10001413,"Rogers Folders, Blue",Storage,27.99,34.99,5,139.95,7.0,35.0
2021-06-16,6,2021,OFF-ST-10003931,"Smead Trays, Wire Frame",Storage,42.99,48.15,3,128.97,5.16,15.48
2021-06-16,6,2021,TEC-AC-10004269,"Belkin Memory Card, USB",Accessories,114.99,128.79,6,689.9399999999999,13.8,82.8
2021-06-16,6,2021,OFF-LA-10001676,"Hon Removable Labels, Adjustable",Labels,7.99,8.79,1,7.99,0.8,0.8
2022-07-11,7,2022,TEC-MA-10000811,"Okidata Phone, Durable",Machines,86.99,113.09,4,347.96,26.1,104.4
2022-07-11,7,2022,OFF-ST-10000648,"Eldon File Cart, Industrial",Storage,114.99,146.04,5,574.9499999999999,31.05,155.25
2022-12-14,12,2022,OFF-BI-10001249,"Acco Hole Reinforcements, Recycled",Binders,6.99,9.02,2,13.98,2.03,4.06
2022-10-18,10,2022,FUR-BO-10004620,"Safco Stackable Bookrack, Mobile",Bookcases,133.99,170.17,2,267.98,36.18,72.36
2022-06-05,6,2022,OFF-ST-10002271,"Rogers Shelving, Wire Frame",Storage,60.99,79.29,1,60.99,18.3,18.3
2022-06-05,6,2022,TEC-AC-10002901,"Memorex Mouse, Bluetooth",Accessories,27.99,31.63,1,27.99,3.64,3.64
2022-04-08,4,2022,OFF-ST-10000632,"Rogers Shelving, Single Width",Storage,55.99,71.11,5,279.95,15.12,75.6
2022-04-08,4,2022,OFF-AR-10002116,"BIC Pens, Fluorescent",Art,15.99,19.03,7,111.93,3.04,21.28
